"ID","X","Y","STATEFP","COUNTYFP","BUILDYEAR","LIFESPAN","RISKCAT","METHOD","XD"
"01001",-86.64644,32.532237,"01","001",2040,180,3,"LEP",65
"01003",-87.746067,30.659218,"01","003",2040,180,3,"LEP",147
"01005",-85.405104,31.870253,"01","005",2040,180,3,"LEP",72
"01007",-87.127148,33.015893,"01","007",2040,180,3,"LEP",58
"01009",-86.56644,33.977358,"01","009",2040,180,3,"LEP",59
"01011",-85.717261,32.101759,"01","011",2040,180,3,"LEP",75
"01013",-86.681969,31.751667,"01","013",2040,180,3,"LEP",65
"01015",-85.827909,33.770516,"01","015",2040,180,3,"LEP",55
"01017",-85.394032,32.915504,"01","017",2040,180,3,"LEP",55
"01019",-85.654242,34.069515,"01","019",2040,180,3,"LEP",55
"01021",-86.726607,32.854051,"01","021",2040,180,3,"LEP",55
"01023",-88.248889,31.990954,"01","023",2040,180,3,"LEP",82
"01025",-87.818624,31.685521,"01","025",2040,180,3,"LEP",97
"01027",-85.863525,33.2704,"01","027",2040,180,3,"LEP",60
"01029",-85.516126,33.671964,"01","029",2040,180,3,"LEP",55
"01031",-85.989602,31.402258,"01","031",2040,180,3,"LEP",100
"01033",-87.801457,34.703112,"01","033",2040,180,3,"LEP",56
"01035",-86.988722,31.430926,"01","035",2040,180,3,"LEP",87
"01037",-86.243482,32.931445,"01","037",2040,180,3,"LEP",67
"01039",-86.448721,31.243987,"01","039",2040,180,3,"LEP",107
"01041",-86.320038,31.730311,"01","041",2040,180,3,"LEP",71
"01043",-86.869267,34.131923,"01","043",2040,180,3,"LEP",55
"01045",-85.609476,31.430654,"01","045",2040,180,3,"LEP",97
"01047",-87.11436,32.333526,"01","047",2040,180,3,"LEP",64
"01049",-85.804021,34.460915,"01","049",2040,180,3,"LEP",58
"01051",-86.142735,32.597229,"01","051",2040,180,3,"LEP",55
"01053",-87.16841,31.122287,"01","053",2040,180,3,"LEP",98
"01055",-86.034263,34.047641,"01","055",2040,180,3,"LEP",55
"01057",-87.764292,33.716157,"01","057",2040,180,3,"LEP",55
"01059",-87.842814,34.441989,"01","059",2040,180,3,"LEP",55
"01061",-85.821022,31.092382,"01","061",2040,180,3,"LEP",93
"01063",-87.9642,32.844497,"01","063",2040,180,3,"LEP",87
"01065",-87.623061,32.752796,"01","065",2040,180,3,"LEP",62
"01067",-85.239971,31.516978,"01","067",2040,180,3,"LEP",64
"01069",-85.296411,31.158183,"01","069",2040,180,3,"LEP",86
"01073",-86.896536,33.553444,"01","073",2040,180,3,"LEP",56
"01075",-88.087431,33.787085,"01","075",2040,180,3,"LEP",55
"01079",-87.321865,34.529776,"01","079",2040,180,3,"LEP",56
"01081",-85.353048,32.604064,"01","081",2040,180,3,"LEP",57
"01085",-86.650586,32.147888,"01","085",2040,180,3,"LEP",55
"01087",-85.692887,32.387027,"01","087",2040,180,3,"LEP",70
"01091",-87.791091,32.247591,"01","091",2040,180,3,"LEP",81
"01093",-87.881551,34.138219,"01","093",2040,180,3,"LEP",56
"01095",-86.321668,34.309564,"01","095",2040,180,3,"LEP",55
"01097",-88.196568,30.684572,"01","097",2040,180,3,"LEP",114
